Session Associated Time;Session Duration;Client MAC Address;Host Name;Device;OS Type;Upstream Transferred (Bytes);Downstream Transferred (Bytes);Connected AP Name
18/10/2016 21:05;8 290,00;74:1b:b2:62:46:ab;iPhonedAnneDodo;Apple;iOS;51 516,00;308 131,00;MEDIAS-CONF_AP1
18/10/2016 19:03;3 873,00;d8:bb:2c:6c:55:0c;iPhone-Theo;Apple;iOS;220,00;254,00;SALON-2C_AP2
18/10/2016 19:24;32 051,00;ec:9b:f3:5e:8e:01;android-467387397353244;Samsung;Android;7 029,00;2 461,00;LOGES-3CD_AP6
18/10/2016 21:43;4 999,00;d0:53:49:b9:18:32;POPB-283;Liteon Technology Co., Ltd.;Windows 7/Vista;605,00;495,00;LOGES-5CD_AP3
18/10/2016 14:42;85 531,00;20:a2:e4:79:cd:e0;iPhonedeDorian;Apple;iOS;18 837,00;440 670,00;LOGES-5CD_AP2
18/10/2016 17:01;11 696,00;94:eb:cd:c7:49:ee;Unknown;Research In Motion Limited;Unknown;740,00;821,00;SALON-1D_AP1
18/10/2016 18:58;7 909,00;0c:41:3e:cf:1c:c8;Unknown;Microsoft Corporation;Windows (Mobile) 8 / Windows (Mobile) 10;727,00;899,00;SALON-5D_AP2
18/10/2016 16:03;390 453,00;10:30:47:e1:31:37;android-b4748a8280d91b1f;Samsung;Android;542 453,00;967 626,00;SALON-1D_AP4
18/10/2016 21:06;16 688,00;68:fb:7e:33:48:b3;Unknown;Unknown;iOS;985,00;876,00;SALON-6C_AP1
18/10/2016 21:02;53 409,00;a0:99:9b:a1:c5:09;iPhonedPastural;Apple;iOS;6 426,00;7 334,00;LOGES-4CD_AP4
18/10/2016 21:14;1 160 255,00;3c:83:75:a7:00:2c;Unknown;Microsoft Corporation;Windows (Mobile) 8 / Windows (Mobile) 10;138 722,00;395 368,00;LOGES-3CD_AP5
18/10/2016 20:25;61 612,00;00:cd:fe:d8:22:e5;iPhone;Unknown;iOS;66 524 988,00;1 733 145,00;LOGES-4CD_AP1
18/10/2016 16:44;483 916,00;cc:25:ef:b6:b6:88;iPhonedeRobert;Apple;iOS;16 356,00;30 587,00;COULOIR-4CD_AP1
18/10/2016 18:50;13 446,00;cc:25:ef:b6:b6:88;iPhonedeRobert;Apple;iOS;220,00;583,00;COULOIR-3CD_AP
18/10/2016 17:41;1 578,00;48:5a:3f:10:93:19;android-61a3fce96683b1b6;WISOL;Android;220,00;254,00;SALON-1D_AP1
18/10/2016 20:11;651 720,00;cc:29:f5:31:f8:1d;Unknown;Apple;iOS;3 198 707,00;130 346,00;LOGES-5CD_AP3
18/10/2016 15:33;15 433,00;34:14:5f:c0:d5:bd;android-ec07947b6598c3a9;Unknown;Android;5 558,00;7 164,00;LOGES-3CD_AP6
18/10/2016 17:19;27 122,00;60:f1:89:4b:41:e9;android-9438134929177913;Murata;Android;4 856,00;11 476,00;LOGES 2C_AP
18/10/2016 19:52;14 059,00;cc:25:ef:31:91:00;iPhonedeRomain;Apple;iOS;544,00;638,00;SALON-2C_AP1
18/10/2016 13:19;13 142,00;74:1b:b2:62:46:ab;iPhonedAnneDodo;Apple;iOS;3 110,00;16 469,00;MEDIAS-CONF_AP1
18/10/2016 16:34;6 578 799,00;78:31:c1:16:e6:db;Unknown;Apple;iOS;288 594,00;2 192 324,00;LOGES-5CD_AP2
18/10/2016 14:22;20 527,00;4c:66:41:03:94:32;Unknown;Unknown;Android;21 712,00;19 810,00;LOGES-3CD_AP5
18/10/2016 16:35;36 250,00;6c:8d:c1:1d:e5:8c;Unknown;Unknown;iOS;7 910,00;17 171,00;PORTE-35_AP1
18/10/2016 12:04;17 178,00;ec:9b:f3:96:19:07;Unknown;Samsung;Android;842,00;434,00;SALON-4D_AP1
18/10/2016 18:57;14 379,00;d0:22:be:6f:82:2d;android-b3b1ed748e66958e;Samsung;Android;44 373,00;80 324,00;COULOIR-4CD_AP1
18/10/2016 16:52;11 967,00;94:eb:cd:c7:49:ee;Unknown;Research In Motion Limited;Unknown;272,00;306,00;SALON-1D_AP1
18/10/2016 13:35;18 843,00;d4:8f:33:62:d6:80;Unknown;Microsoft Corporation;Windows (Mobile) 8 / Windows (Mobile) 10;1 407,00;618,00;LOGES-5CD_AP3
18/10/2016 18:00;22 684,00;e0:66:78:ee:f2:d6;Unknown;Apple;iOS;4 290,00;346,00;LOGES-3CD_AP1
18/10/2016 18:42;11 471,00;40:33:1a:ce:f2:33;iPhone;Apple;iOS;248,00;300,00;SALON-2C_AP3
18/10/2016 14:08;21 784,00;d8:96:95:27:a1:d9;Unknown;Apple;iOS;9 095,00;10 053,00;SALON-2C_AP3
18/10/2016 16:01;5 215,00;04:f7:e4:b9:c2:1c;MICHEL-PAYAN;Apple;iOS;3 450,00;478,00;LOGES-5CD_AP3
18/10/2016 18:14;591 018,00;c8:85:50:6b:36:db;vinceiPhone;Apple;iOS;607 267 037,00;8 280 989,00;LOGES-4CD_AP3
18/10/2016 16:25;5 007,00;d0:53:49:b9:18:32;POPB-283;Liteon Technology Co., Ltd.;Windows 7/Vista;605,00;495,00;LOGES-5CD_AP3
18/10/2016 18:08;61 015,00;64:9a:be:87:8a:22;Unknown;Apple;iOS;10 522,00;8 502,00;PORTE-35_AP1
18/10/2016 19:05;51 694,00;b8:53:ac:48:b2:db;Unknown;Unknown;iOS;20 569,00;9 204,00;LOGES-4CD_AP3
18/10/2016 18:39;98 950,00;c4:b3:01:28:ec:14;iPhonedeMOUNIA;Unknown;iOS;2 296,00;1 447,00;SALON-1D_AP1
18/10/2016 21:45;8 665,00;60:f8:1d:11:18:3a;Unknown;Apple;iOS;1 224,00;300,00;SALON-4D_AP1
18/10/2016 21:56;19 525,00;40:b8:37:d2:aa:0b;android-a3e6d76c4c409ab3;Sony Mobile Communications AB;Android;220,00;254,00;LOGES-3CD_AP4
18/10/2016 19:54;3 805,00;a8:81:95:d0:7e:58;Unknown;Unknown;Android;220,00;254,00;LOGES-2D_AP
18/10/2016 16:11;16 562,00;c4:b3:01:28:ec:14;iPhonedeMOUNIA;Unknown;iOS;60 260,00;1 724 719,00;LOGES-3CD_AP4
